id;start_date;end_date;language
1;2021-08-02T09:15:30;2021-08-02T07:05:45;ENGLISH
2;2021-08-01T18:43:05;2021-08-02T04:08:34;FRENCH
3;2021-08-02T04:39:17;2021-08-01T16:44:25;SPANISH
4;2021-08-02T09:10:06;2021-08-01T14:36:25;FRENCH
5;2021-08-02T11:26:29;2021-08-01T19:45:27;ENGLISH
6;2021-08-01T20:57:12;2021-08-02T10:57:32;SPANISH
7;2021-08-02T05:01:00;2021-08-01T15:35:09;FRENCH
8;2021-08-01T19:26:53;2021-08-01T16:02:42;FRENCH
9;2021-08-01T20:18:31;2021-08-02T07:49:57;FRENCH
10;2021-08-01T16:15:29;2021-08-02T09:12:58;FRENCH
